time,temperature_2m (°C),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),relative_humidity_2m (%),cloud_cover (%),wind_speed_10m (km/h)
1/1/2020,18,0,0,0,0,0,74,4,5.7
1/1/2020 0:59,15.3,0,0,0,0,0,86,3,6.1
1/1/2020 2:00,14.7,0,0,0,0,0,91,3,5.5
1/1/2020 3:00,14.3,0,0,0,0,0,92,2,7.1
1/1/2020 3:59,15.4,0,0,0,0,0,88,1,4.6
1/1/2020 5:00,16.4,0,0,0,0,0,85,8,1.6
1/1/2020 6:00,16.8,0,0,0,0,0,81,4,1.6
1/1/2020 6:59,16.8,2,0,2,0,1.9,81,36,3.2
1/1/2020 8:00,17.4,76,33,43,215.4,115.6,82,12,2.9
1/1/2020 9:00,20.1,232,148,84,430.7,319.8,74,29,2.1
1/1/2020 9:59,22.6,392,284,108,568.2,517.3,65,66,2.4
1/1/2020 11:00,24.1,501,360,141,589.1,636.9,60,78,1.8
1/1/2020 12:00,25.2,556,400,156,597.1,697,56,80,1.8
1/1/2020 12:59,25.8,562,404,158,601,704.1,53,70,2.5
1/1/2020 14:00,26.2,512,376,136,608.6,653.1,50,54,5
1/1/2020 15:00,26,391,274,117,536.7,509.4,49,50,5.9
1/1/2020 15:59,25,222,125,97,349.6,292.8,57,58,4.9
1/1/2020 17:00,21.8,81,34,47,200.7,118,75,46,7.5
1/1/2020 18:00,19.7,3,0,3,0,2.9,74,39,7.2
1/1/2020 18:59,18.9,0,0,0,0,0,77,19,6.3
1/1/2020 20:00,19.4,0,0,0,0,0,73,12,5.1
1/1/2020 21:00,17.4,0,0,0,0,0,84,3,4.1
1/1/2020 21:59,16.7,0,0,0,0,0,89,22,5.4
1/1/2020 23:00,16,0,0,0,0,0,91,39,6.2
1/2/2020,16.7,0,0,0,0,0,89,17,5.7
1/2/2020 0:59,17.2,0,0,0,0,0,88,39,2.1
1/2/2020 2:00,14.8,0,0,0,0,0,96,23,5.2
1/2/2020 3:00,15.3,0,0,0,0,0,97,67,6.9
1/2/2020 3:59,15.8,0,0,0,0,0,96,39,9.1
1/2/2020 5:00,16,0,0,0,0,0,95,48,9.2
1/2/2020 6:00,16.5,0,0,0,0,0,94,47,9
1/2/2020 6:59,16.5,1,0,1,0,1,94,91,6.6
1/2/2020 8:00,17.9,64,15,49,98.5,81,88,70,8.6
1/2/2020 9:00,20.3,204,107,97,311.9,266.2,79,79,6.2
1/2/2020 9:59,22.8,366,237,129,474.3,469,70,97,6.1
1/2/2020 11:00,23.9,366,136,230,222.4,411.1,65,92,6.1
1/2/2020 12:00,25,454,246,208,366.8,536.6,60,88,4.6
1/2/2020 12:59,25.9,541,348,193,516.7,660.9,55,64,5
1/2/2020 14:00,26.2,485,331,154,534.3,607.5,53,73,5.8
1/2/2020 15:00,26.2,383,252,131,491.6,490.4,52,97,6.9
1/2/2020 15:59,25.2,200,68,132,189,235.4,59,98,5.8
1/2/2020 17:00,22.6,75,17,58,98.9,92,75,90,6.9
1/2/2020 18:00,21.5,4,0,4,0,3.9,75,4,7.6
1/2/2020 18:59,21.2,0,0,0,0,0,73,59,7.2
1/2/2020 20:00,20.9,0,0,0,0,0,74,91,7.6
1/2/2020 21:00,20,0,0,0,0,0,78,92,7
1/2/2020 21:59,19.7,0,0,0,0,0,81,84,6.8
1/2/2020 23:00,19.4,0,0,0,0,0,84,95,7.6
1/3/2020,18.9,0,0,0,0,0,88,93,5.4
1/3/2020 0:59,18.8,0,0,0,0,0,89,91,6.6
1/3/2020 2:00,18.3,0,0,0,0,0,92,80,5.8
1/3/2020 3:00,18.2,0,0,0,0,0,92,90,6.5
1/3/2020 3:59,18.3,0,0,0,0,0,91,94,5.5
1/3/2020 5:00,18.1,0,0,0,0,0,92,96,4.2
1/3/2020 6:00,17.3,0,0,0,0,0,82,93,13
1/3/2020 6:59,17,0,0,0,0,0,88,100,14.5
1/3/2020 8:00,17,14,0,14,0,13.5,89,100,13.7
1/3/2020 9:00,17,37,5,32,14.6,38.9,91,100,11.9
1/3/2020 9:59,17.2,55,0,55,0,53.1,91,99,11.9
1/3/2020 11:00,17.4,57,3,54,4.9,56.3,91,93,8.9
1/3/2020 12:00,17.8,91,22,69,32.8,96.6,88,84,12
1/3/2020 12:59,19.4,262,81,181,120,285.1,78,47,18
1/3/2020 14:00,21.5,440,277,163,445.8,540.8,69,90,10.4
1/3/2020 15:00,21.5,247,90,157,174.9,281.3,69,100,6.6
1/3/2020 15:59,20.1,41,0,41,0,39.6,82,100,2.6
1/3/2020 17:00,19.2,21,0,21,0,20.3,90,100,4.6
1/3/2020 18:00,18.9,1,0,1,0,1,83,72,2
1/3/2020 18:59,17.5,0,0,0,0,0,93,95,4.7
1/3/2020 20:00,17.3,0,0,0,0,0,93,93,5.3
1/3/2020 21:00,17.2,0,0,0,0,0,92,100,4
1/3/2020 21:59,17.6,0,0,0,0,0,90,100,1.5
1/3/2020 23:00,16.7,0,0,0,0,0,95,63,4.5
1/4/2020,15.3,0,0,0,0,0,97,5,7
1/4/2020 0:59,15,0,0,0,0,0,97,3,6.2
1/4/2020 2:00,15.2,0,0,0,0,0,96,2,4.5
1/4/2020 3:00,15.4,0,0,0,0,0,96,3,3.9
1/4/2020 3:59,15.3,0,0,0,0,0,95,2,3.2
1/4/2020 5:00,15.1,0,0,0,0,0,95,3,2.8
1/4/2020 6:00,14,0,0,0,0,0,100,100,2.9
1/4/2020 6:59,14.2,1,0,1,0,1,100,100,2.4
1/4/2020 8:00,15.3,48,5,43,33.2,52.8,96,100,4.7
1/4/2020 9:00,16.2,134,20,114,58.4,142.2,92,84,1.9
1/4/2020 9:59,18,276,88,188,176.1,309.2,86,51,2.2
1/4/2020 11:00,19.8,431,253,178,413.1,522.8,76,22,2.9
1/4/2020 12:00,20.9,468,306,162,454.9,573.2,69,53,2.9
1/4/2020 12:59,21.7,438,261,177,385.9,526,63,80,2.6
1/4/2020 14:00,22.3,424,226,198,362.7,503.5,59,95,2.8
1/4/2020 15:00,22.5,315,152,163,294.1,376.1,57,94,2.5
1/4/2020 15:59,22.4,185,78,107,213.9,226.4,58,10,2.9
1/4/2020 17:00,20.1,82,34,48,192.4,117.1,76,13,6.3
1/4/2020 18:00,19.7,4,1,3,17.1,6.9,73,16,3.8
1/4/2020 18:59,18,0,0,0,0,0,84,42,5.2
1/4/2020 20:00,17,0,0,0,0,0,89,14,5.2
1/4/2020 21:00,16,0,0,0,0,0,92,12,6.7
1/4/2020 21:59,15.4,0,0,0,0,0,94,13,6.4
1/4/2020 23:00,15.5,0,0,0,0,0,93,14,5.4
1/5/2020,15.3,0,0,0,0,0,94,18,5.4
1/5/2020 0:59,15.2,0,0,0,0,0,94,37,5.5
1/5/2020 2:00,15.1,0,0,0,0,0,94,83,4.8
1/5/2020 3:00,15.3,0,0,0,0,0,94,100,4.5
1/5/2020 3:59,15.6,0,0,0,0,0,92,100,3.6
1/5/2020 5:00,15.9,0,0,0,0,0,91,99,4.1
1/5/2020 6:00,16,0,0,0,0,0,91,90,4.3
1/5/2020 6:59,16.4,1,0,1,0,1,91,100,2.6
1/5/2020 8:00,17,23,5,18,33.3,28.6,89,88,1
1/5/2020 9:00,17.8,86,18,68,52.6,94.6,86,86,3.9
1/5/2020 9:59,18.6,149,50,99,100,168,82,100,5.6
1/5/2020 11:00,19.2,195,74,121,120.7,219.4,79,81,6.9
1/5/2020 12:00,19.5,235,97,138,144,265.2,78,58,4.1
1/5/2020 12:59,19.9,207,88,119,129.8,234.5,76,80,4.5
1/5/2020 14:00,20.4,232,101,131,161.6,265.9,73,61,6.3
1/5/2020 15:00,20.6,228,99,129,190.7,266.7,68,54,9.1
1/5/2020 15:59,20.2,172,83,89,226.1,216.5,71,43,10.1
1/5/2020 17:00,18.9,68,24,44,133.9,92,81,34,7.1
1/5/2020 18:00,17.5,4,0,4,0,3.9,85,17,6.2
1/5/2020 18:59,17.1,0,0,0,0,0,88,17,5.7
1/5/2020 20:00,16.1,0,0,0,0,0,93,2,5.9
1/5/2020 21:00,15.2,0,0,0,0,0,95,0,6
1/5/2020 21:59,14.3,0,0,0,0,0,96,0,7.7
1/5/2020 23:00,14,0,0,0,0,0,97,0,7.6
1/6/2020,13.6,0,0,0,0,0,97,0,7.7
1/6/2020 0:59,13,0,0,0,0,0,96,0,8.4
1/6/2020 2:00,12.4,0,0,0,0,0,96,0,9
1/6/2020 3:00,12.6,0,0,0,0,0,95,0,7.2
1/6/2020 3:59,12,0,0,0,0,0,95,0,8.7
1/6/2020 5:00,11.5,0,0,0,0,0,95,0,9.4
1/6/2020 6:00,11.6,0,0,0,0,0,100,0,6.5
1/6/2020 6:59,12,1,0,1,0,1,99,98,5.1
1/6/2020 8:00,13.4,62,17,45,113.7,81.7,96,100,6.5
1/6/2020 9:00,15.6,197,83,114,242.9,243.3,88,0,5.4
1/6/2020 9:59,18,390,263,127,526,503.2,78,0,6.6
1/6/2020 11:00,19.4,517,390,127,635.5,662.4,71,5,9.9
1/6/2020 12:00,20.1,580,431,149,638.6,729.5,65,16,9.3
1/6/2020 12:59,20.7,565,405,160,596.1,704.1,59,18,8.2
1/6/2020 14:00,21,500,350,150,558.1,627.1,54,10,7.3
1/6/2020 15:00,21,378,246,132,471.8,479.9,54,32,7.9
1/6/2020 15:59,20.6,220,125,95,338.2,287.6,55,3,7.6
1/6/2020 17:00,18.5,83,32,51,175.9,114.7,71,1,5.2
1/6/2020 18:00,15.8,5,1,4,16.3,7.8,79,3,7.1
1/6/2020 18:59,15.6,0,0,0,0,0,79,1,7.1
1/6/2020 20:00,15.2,0,0,0,0,0,82,2,7.7
1/6/2020 21:00,14.2,0,0,0,0,0,87,3,6.7
1/6/2020 21:59,14.1,0,0,0,0,0,87,2,8.7
1/6/2020 23:00,13.8,0,0,0,0,0,87,1,9.7
1/7/2020,13.4,0,0,0,0,0,89,0,9.4
1/7/2020 0:59,12.8,0,0,0,0,0,91,0,8.6
1/7/2020 2:00,12.4,0,0,0,0,0,92,28,7.4
1/7/2020 3:00,12.1,0,0,0,0,0,93,0,7.2
1/7/2020 3:59,11.9,0,0,0,0,0,94,0,7.3
1/7/2020 5:00,11.6,0,0,0,0,0,95,0,6.3
1/7/2020 6:00,11.1,0,0,0,0,0,97,0,5.1
1/7/2020 6:59,11.9,1,0,1,0,1,96,62,7.3
1/7/2020 8:00,13.4,69,24,45,161.1,97.4,91,26,7.9
1/7/2020 9:00,15.4,220,126,94,368.9,292.8,81,31,6.2
1/7/2020 9:59,17.4,380,260,120,519.6,491.6,73,3,7.1
1/7/2020 11:00,19,508,375,133,610.3,646.8,66,0,7.4
1/7/2020 12:00,20.3,578,435,143,643.4,728.4,61,1,9.7
1/7/2020 12:59,20.9,582,438,144,643,732.6,57,11,9
1/7/2020 14:00,21.2,516,372,144,591.2,650.8,56,16,9.1
1/7/2020 15:00,21.1,399,270,129,515.5,510.6,56,0,7.7
1/7/2020 15:59,20.6,252,158,94,424.6,337.5,58,0,8.4
1/7/2020 17:00,18.2,94,43,51,233.1,136.4,75,0,6.6
1/7/2020 18:00,17.9,5,1,4,16,7.7,69,0,4.2
1/7/2020 18:59,17.1,0,0,0,0,0,72,2,3.9
1/7/2020 20:00,16.4,0,0,0,0,0,76,3,4.1
1/7/2020 21:00,15.8,0,0,0,0,0,78,0,3.8
1/7/2020 21:59,14.1,0,0,0,0,0,86,0,5.2
1/7/2020 23:00,12.5,0,0,0,0,0,93,2,7.2
1/8/2020,12.5,0,0,0,0,0,93,21,6.6
1/8/2020 0:59,11.8,0,0,0,0,0,95,20,8.3
1/8/2020 2:00,11.6,0,0,0,0,0,95,0,7.6
1/8/2020 3:00,11.3,0,0,0,0,0,96,0,7.1
1/8/2020 3:59,11.1,0,0,0,0,0,96,0,6.8
1/8/2020 5:00,10.9,0,0,0,0,0,97,0,6.6
1/8/2020 6:00,11,0,0,0,0,0,99,15,5.1
1/8/2020 6:59,11.6,1,0,1,0,1,99,95,5
1/8/2020 8:00,13.1,64,21,43,141.4,88.7,96,79,5.4
1/8/2020 9:00,15.9,200,101,99,295.7,257.3,86,66,4
1/8/2020 9:59,18.2,352,203,149,405.4,436.8,75,63,5.7
1/8/2020 11:00,19.7,492,338,154,549.3,615.2,66,68,5.5
1/8/2020 12:00,20.8,547,361,186,532.9,668.8,61,39,4.6
1/8/2020 12:59,21.6,560,386,174,565.2,690.3,57,36,4.2
1/8/2020 14:00,22.1,504,346,158,548,627.7,55,37,4.3
1/8/2020 15:00,22.2,390,253,137,480.8,493.2,55,40,3.8
1/8/2020 15:59,22,243,140,103,373.6,317.3,56,100,1.6
1/8/2020 17:00,19.6,78,17,61,90.8,93,75,65,6
1/8/2020 18:00,17.6,6,1,5,15.6,8.6,77,98,6.9
1/8/2020 18:59,17.2,0,0,0,0,0,78,99,6.1
1/8/2020 20:00,16.9,0,0,0,0,0,79,96,5.2
1/8/2020 21:00,16.1,0,0,0,0,0,84,98,5.7
1/8/2020 21:59,15.3,0,0,0,0,0,88,89,6.8
1/8/2020 23:00,14.7,0,0,0,0,0,91,100,6.9
1/9/2020,15.2,0,0,0,0,0,88,100,5.6
1/9/2020 0:59,15,0,0,0,0,0,90,100,5
1/9/2020 2:00,14.9,0,0,0,0,0,92,100,5.8
1/9/2020 3:00,15.1,0,0,0,0,0,92,100,6
1/9/2020 3:59,15.1,0,0,0,0,0,93,100,6.3
1/9/2020 5:00,15.3,0,0,0,0,0,92,99,6.3
1/9/2020 6:00,15.7,0,0,0,0,0,91,100,7.7
1/9/2020 6:59,15.9,0,0,0,0,0,92,87,7
1/9/2020 8:00,16.7,32,6,26,40.5,38.6,88,100,10.1
1/9/2020 9:00,17.1,74,13,61,38.1,79.7,86,95,10.8
1/9/2020 9:59,18.4,175,35,140,69.8,185.6,79,100,7.9
1/9/2020 11:00,19.1,184,28,156,45.4,189.2,71,71,5.9
1/9/2020 12:00,19.9,238,42,196,61.9,246.1,66,81,2.1
1/9/2020 12:59,21.1,355,143,212,208.8,397.9,61,91,0.8
1/9/2020 14:00,21.5,341,127,214,200.5,380.7,60,87,4.7
1/9/2020 15:00,21.5,256,88,168,166.4,287.4,60,93,1.4
1/9/2020 15:59,21.3,169,45,124,119.3,189.5,61,53,3.9
1/9/2020 17:00,19.1,63,19,44,100.1,80.3,79,95,4.3
1/9/2020 18:00,17.2,3,0,3,0,2.9,85,92,5.9
1/9/2020 18:59,16.8,0,0,0,0,0,87,98,6.6
1/9/2020 20:00,17,0,0,0,0,0,85,80,4.7
1/9/2020 21:00,16,0,0,0,0,0,88,15,6.5
1/9/2020 21:59,15.3,0,0,0,0,0,90,6,5.9
1/9/2020 23:00,14.7,0,0,0,0,0,92,43,6.1
1/10/2020,14.9,0,0,0,0,0,90,24,6.4
1/10/2020 0:59,14.3,0,0,0,0,0,92,14,6
1/10/2020 2:00,13.4,0,0,0,0,0,94,6,7.9
1/10/2020 3:00,13.1,0,0,0,0,0,95,9,7.6
1/10/2020 3:59,13,0,0,0,0,0,95,14,7.2
1/10/2020 5:00,12.9,0,0,0,0,0,95,16,6.9
1/10/2020 6:00,13.1,0,0,0,0,0,95,21,6.1
1/10/2020 6:59,13.4,1,0,1,0,0,95,24,4.8
1/10/2020 8:00,15.4,66,22,44,148.5,91.7,88,8,6.6
1/10/2020 9:00,17.7,206,113,93,330.6,270,80,21,6.8
1/10/2020 9:59,19.4,329,204,125,406.5,414.1,74,11,9
1/10/2020 11:00,20.9,466,316,150,511.8,579.7,68,6,11
1/10/2020 12:00,22.3,557,399,158,586.4,691.7,62,68,10.8
1/10/2020 12:59,22.6,470,289,181,420.8,564.6,59,79,9.8
1/10/2020 14:00,22.7,366,183,183,287.8,427.1,57,67,10.2
1/10/2020 15:00,22.6,329,157,172,295.5,389,57,94,11.2
1/10/2020 15:59,22,218,112,106,294.7,275.3,59,81,10
1/10/2020 17:00,19.8,94,39,55,202.6,130,74,21,5.2
1/10/2020 18:00,17.1,6,1,5,15,8.4,84,13,7.4
1/10/2020 18:59,16.8,0,0,0,0,0,85,6,6.2
1/10/2020 20:00,16.2,0,0,0,0,0,87,4,7.9
1/10/2020 21:00,15.9,0,0,0,0,0,85,3,10.5
1/10/2020 21:59,15.6,0,0,0,0,0,79,1,12
1/10/2020 23:00,14.9,0,0,0,0,0,76,1,11.7
1/11/2020,14.2,0,0,0,0,0,78,0,11.5
1/11/2020 0:59,13.6,0,0,0,0,0,85,1,10
1/11/2020 2:00,13.1,0,0,0,0,0,91,3,8.7
1/11/2020 3:00,12.9,0,0,0,0,0,94,1,8.7
1/11/2020 3:59,12.6,0,0,0,0,0,95,0,8.7
1/11/2020 5:00,12.4,0,0,0,0,0,96,0,8.2
1/11/2020 6:00,12.7,0,0,0,0,0,96,0,9.2
1/11/2020 6:59,12.8,1,0,1,0,0,96,0,10.4
1/11/2020 8:00,14.1,69,26,43,175.5,99.5,92,0,9.4
1/11/2020 9:00,16,219,121,98,353.8,287.2,84,4,10.7
1/11/2020 9:59,17.9,381,251,130,499.5,485.9,76,0,11.2
1/11/2020 11:00,19.6,510,364,146,588.5,641.1,70,0,11.6
1/11/2020 12:00,21.2,585,433,152,634.9,730.9,62,47,12.4
1/11/2020 12:59,22,542,356,186,516.9,659,57,83,9.7
1/11/2020 14:00,22.2,444,248,196,388.6,527.9,55,85,10.2
1/11/2020 15:00,22.1,330,173,157,324.1,396.6,55,100,11.5
1/11/2020 15:59,21.6,207,88,119,230,250.3,57,54,11.2
1/11/2020 17:00,20,87,31,56,158.8,114.7,66,22,12.2
1/11/2020 18:00,17.5,7,1,6,14.7,9.3,77,15,7
1/11/2020 18:59,16.7,0,0,0,0,0,81,19,7.7
1/11/2020 20:00,15.9,0,0,0,0,0,84,3,8.8
1/11/2020 21:00,15,0,0,0,0,0,88,1,7.4
1/11/2020 21:59,14.6,0,0,0,0,0,89,1,7.9
1/11/2020 23:00,14.5,0,0,0,0,0,89,0,8.7
1/12/2020,14.3,0,0,0,0,0,90,0,9.7
1/12/2020 0:59,14.1,0,0,0,0,0,90,0,11.5
1/12/2020 2:00,13.8,0,0,0,0,0,92,0,11.7
1/12/2020 3:00,13.4,0,0,0,0,0,93,0,11.6
1/12/2020 3:59,13.1,0,0,0,0,0,94,0,10.8
1/12/2020 5:00,12.8,0,0,0,0,0,95,0,10
1/12/2020 6:00,12.7,0,0,0,0,0,95,1,10.6
1/12/2020 6:59,12.7,1,0,1,0,0,95,0,9.4
1/12/2020 8:00,14,69,27,42,182.1,100.5,89,0,11.3
1/12/2020 9:00,15.9,219,127,92,370.9,290.5,81,22,12.1
1/12/2020 9:59,18.1,381,259,122,514.6,489,73,44,10.8
1/12/2020 11:00,19.9,509,370,139,597,641.7,67,0,10.5
1/12/2020 12:00,21.3,585,440,145,643.6,732.7,63,0,11
1/12/2020 12:59,22.2,594,448,146,648.6,743.3,61,0,11
1/12/2020 14:00,22.6,537,398,139,621.4,676.7,60,0,11.2
1/12/2020 15:00,22.5,422,301,121,561.2,542,60,0,11.2
1/12/2020 15:59,21.9,265,168,97,435.9,351.2,62,0,11.6
1/12/2020 17:00,20.1,103,48,55,242.6,146.1,70,0,9
1/12/2020 18:00,17.5,7,1,6,14.4,9.3,80,0,7.7
1/12/2020 18:59,16.8,0,0,0,0,0,84,0,8
1/12/2020 20:00,16,0,0,0,0,0,88,0,8.3
1/12/2020 21:00,15.5,0,0,0,0,0,89,0,8.7
1/12/2020 21:59,15,0,0,0,0,0,90,0,8.4
1/12/2020 23:00,14.5,0,0,0,0,0,91,0,8.2
1/13/2020,14,0,0,0,0,0,91,0,8.2
1/13/2020 0:59,13.5,0,0,0,0,0,92,0,7.9
1/13/2020 2:00,13.1,0,0,0,0,0,92,0,7.9
1/13/2020 3:00,12.7,0,0,0,0,0,93,0,7.9
1/13/2020 3:59,12.3,0,0,0,0,0,93,0,7.1
1/13/2020 5:00,12,0,0,0,0,0,94,0,6.9
1/13/2020 6:00,11.8,0,0,0,0,0,94,0,6.9
1/13/2020 6:59,11.8,1,0,1,0,0,95,0,6.4
1/13/2020 8:00,13.2,69,28,41,188.7,101.5,89,0,7.4
1/13/2020 9:00,15.3,223,131,92,382.1,296.3,80,0,7
1/13/2020 9:59,17.4,386,265,121,525.6,495.9,74,0,6.9
1/13/2020 11:00,19.3,516,379,137,610.2,651.2,69,0,6.4
1/13/2020 12:00,20.8,590,444,146,647.8,738,65,0,6.1
1/13/2020 12:59,21.8,599,454,145,655.2,749.3,62,0,6.7
1/13/2020 14:00,22.3,542,403,139,626.8,682.4,59,0,8.2
1/13/2020 15:00,22.3,423,297,126,551,540.1,59,0,8.4
1/13/2020 15:59,21.7,264,163,101,420,346.4,61,0,7.1
1/13/2020 17:00,19.7,103,46,57,229.3,143.4,74,0,4.7
1/13/2020 18:00,16.8,8,1,7,14.1,10.2,85,0,8.8
1/13/2020 18:59,16.5,0,0,0,0,0,85,0,8.4
1/13/2020 20:00,15.8,0,0,0,0,0,88,0,7.2
1/13/2020 21:00,15.5,0,0,0,0,0,89,1,6.6
1/13/2020 21:59,14.4,0,0,0,0,0,93,0,7.1
1/13/2020 23:00,13.8,0,0,0,0,0,95,0,6.9
1/14/2020,14,0,0,0,0,0,95,1,5.9
1/14/2020 0:59,13.8,0,0,0,0,0,96,1,6.6
1/14/2020 2:00,13.5,0,0,0,0,0,96,1,6.2
1/14/2020 3:00,13.4,0,0,0,0,0,97,1,6.6
1/14/2020 3:59,13.2,0,0,0,0,0,97,0,6.4
1/14/2020 5:00,12.7,0,0,0,0,0,97,0,5.5
1/14/2020 6:00,12.2,0,0,0,0,0,98,0,7.1
1/14/2020 6:59,12.2,1,0,1,0,0,98,0,5.9
1/14/2020 8:00,14.4,70,28,42,188.4,102.2,93,0,6.3
1/14/2020 9:00,16.7,224,131,93,381.5,296.7,86,0,5.1
1/14/2020 9:59,19.1,387,265,122,524.5,496,77,0,5.4
1/14/2020 11:00,20.9,513,371,142,596,644.2,68,0,4.8
1/14/2020 12:00,22.1,588,440,148,640.2,733.5,60,1,3.6
1/14/2020 12:59,22.8,595,442,153,635.9,739.8,58,1,3.9
1/14/2020 14:00,23.1,536,388,148,601.2,669.5,57,0,3.7
1/14/2020 15:00,23.2,425,298,127,550.2,541.4,56,0,2.9
1/14/2020 15:59,22.9,270,172,98,440.1,356.2,56,0,1.8
1/14/2020 17:00,22.3,107,49,58,241.1,149.3,60,0,3.2
1/14/2020 18:00,21,8,1,7,13.9,10.1,65,0,2.9
1/14/2020 18:59,17.8,0,0,0,0,0,81,0,6.6
1/14/2020 20:00,17.3,0,0,0,0,0,83,0,6.6
1/14/2020 21:00,18.7,0,0,0,0,0,75,0,4.2
1/14/2020 21:59,18.1,0,0,0,0,0,77,0,2
1/14/2020 23:00,14.8,0,0,0,0,0,90,0,4.6
1/15/2020,13.9,0,0,0,0,0,94,0,5.3
1/15/2020 0:59,13.4,0,0,0,0,0,96,0,7
1/15/2020 2:00,13,0,0,0,0,0,96,0,7.8
1/15/2020 3:00,12.7,0,0,0,0,0,97,0,8.2
1/15/2020 3:59,12.4,0,0,0,0,0,96,0,8.4
1/15/2020 5:00,12.5,0,0,0,0,0,95,0,7.8
1/15/2020 6:00,11.9,0,0,0,0,0,96,0,7.4
1/15/2020 6:59,12,1,0,1,0,0,96,0,6.9
1/15/2020 8:00,14.6,73,32,41,215,109.7,93,0,5.6
1/15/2020 9:00,18.3,230,139,91,404,306.8,82,0,3.4
1/15/2020 9:59,20.6,399,290,109,572.8,518.3,71,0,2.8
1/15/2020 11:00,22.2,525,399,126,639.4,666,61,0,1.5
1/15/2020 12:00,23.1,592,449,143,651.5,739.7,58,0,2.5
1/15/2020 12:59,23.8,601,455,146,652.5,749.3,56,1,4.1
1/15/2020 14:00,24.3,540,398,142,614.3,676.2,55,0,5.4
1/15/2020 15:00,24.2,430,309,121,567.7,549.9,55,0,6.4
1/15/2020 15:59,23.6,273,176,97,447.1,360.2,57,0,6.4
1/15/2020 17:00,20.7,109,53,56,257.3,154.1,78,0,6.6
1/15/2020 18:00,18.6,9,2,7,27.2,13.3,80,0,7
1/15/2020 18:59,17.3,0,0,0,0,0,84,0,7.9
1/15/2020 20:00,16.5,0,0,0,0,0,87,0,6.8
1/15/2020 21:00,16.2,0,0,0,0,0,90,0,5
1/15/2020 21:59,15.7,0,0,0,0,0,92,0,5.9
1/15/2020 23:00,15.5,0,0,0,0,0,92,0,6.3
1/16/2020,15,0,0,0,0,0,93,0,6
1/16/2020 0:59,14.2,0,0,0,0,0,95,0,7.6
1/16/2020 2:00,13.8,0,0,0,0,0,95,0,7.7
1/16/2020 3:00,13.6,0,0,0,0,0,96,0,7.3
1/16/2020 3:59,13.2,0,0,0,0,0,96,0,7.4
1/16/2020 5:00,13.9,0,0,0,0,0,94,0,4.8
1/16/2020 6:00,13,0,0,0,0,0,96,0,6.4
1/16/2020 6:59,12.8,1,0,1,0,0,97,0,6.5
1/16/2020 8:00,15.6,70,29,41,194.4,102.8,91,0,5.9
1/16/2020 9:00,18.7,225,138,87,400.2,300.6,82,0,3.7
1/16/2020 9:59,21.4,385,268,117,528.1,493.8,69,0,3.8
1/16/2020 11:00,23.1,513,378,135,604.2,644.9,61,0,4.5
1/16/2020 12:00,24.1,587,443,144,640.9,731.4,57,0,4.3
1/16/2020 12:59,24.9,598,454,144,648.9,744.8,55,0,3.7
1/16/2020 14:00,25.3,544,406,138,624.1,681.9,54,0,3.7
1/16/2020 15:00,25.3,429,305,124,557.5,546,54,0,3.6
1/16/2020 15:59,24.9,272,173,99,436.4,356.5,56,0,3.3
1/16/2020 17:00,23.1,110,52,58,249,153.3,70,0,4.2
1/16/2020 18:00,20.8,9,2,7,26.7,13.2,73,0,5.2
1/16/2020 18:59,19.6,0,0,0,0,0,79,0,5
1/16/2020 20:00,18.5,0,0,0,0,0,85,0,6.2
1/16/2020 21:00,17.4,0,0,0,0,0,90,0,6
1/16/2020 21:59,16.9,0,0,0,0,0,90,0,6.3
1/16/2020 23:00,16.5,0,0,0,0,0,90,0,6
1/17/2020,15.9,0,0,0,0,0,91,0,6.4
1/17/2020 0:59,15.5,0,0,0,0,0,92,0,6.4
1/17/2020 2:00,15.2,0,0,0,0,0,93,0,6.7
1/17/2020 3:00,15,0,0,0,0,0,94,2,6.9
1/17/2020 3:59,14.7,0,0,0,0,0,94,0,6.4
1/17/2020 5:00,14.3,0,0,0,0,0,95,0,5.7
1/17/2020 6:00,14.4,0,0,0,0,0,95,3,6
1/17/2020 6:59,14.7,1,0,1,0,0,95,1,5.8
1/17/2020 8:00,16.9,70,29,41,193.9,102.5,88,0,7.1
1/17/2020 9:00,19.9,223,133,90,384.7,295,78,0,4.8
1/17/2020 9:59,22.7,387,269,118,528.7,495.2,67,0,4.8
1/17/2020 11:00,24.6,518,384,134,612.1,651,58,0,4.3
1/17/2020 12:00,25.9,594,452,142,651.9,740.3,53,0,3.9
1/17/2020 12:59,26.7,606,465,141,662.3,755.3,49,0,2.9
1/17/2020 14:00,27.1,552,417,135,638.3,692.6,47,0,2.9
1/17/2020 15:00,27.1,435,314,121,570.9,554.4,46,0,3.3
1/17/2020 15:59,26.6,277,179,98,448.2,363.5,51,0,3.5
1/17/2020 17:00,23.7,112,54,58,255.2,156.1,68,0,5.8
1/17/2020 18:00,20.9,10,2,8,26.2,14.1,78,0,6.6
1/17/2020 18:59,20.4,0,0,0,0,0,80,0,6.2
1/17/2020 20:00,19.3,0,0,0,0,0,86,0,6.5
1/17/2020 21:00,18.2,0,0,0,0,0,91,0,6
1/17/2020 21:59,17.6,0,0,0,0,0,92,0,6
1/17/2020 23:00,17.3,0,0,0,0,0,91,1,6.8
