k,sigma,coverage_%,avg_safe_solar_kW,avg_actual_solar_kW,utilization_%,n_clipped_to_zero,clipped_%,label
0.5,bucketed,89.12332070272132,0.3838387774285882,0.4370249442249397,87.82994712334401,5938,51.136755080950735,Solar (Bucketed σ)
1.0,bucketed,93.9200826730968,0.35615807710215003,0.4370249442249397,81.49605229829469,6507,56.036858422321735,Solar (Bucketed σ)
1.5,bucketed,96.04719255942129,0.3307777681561956,0.4370249442249397,75.68853277764896,6801,58.568722011712026,Solar (Bucketed σ)
2.0,bucketed,97.3647950396142,0.3064752666393888,0.4370249442249397,70.12763703520865,6946,59.817430244574574,Solar (Bucketed σ)
2.5,bucketed,98.32070272132277,0.28298419056311896,0.4370249442249397,64.75241157343757,7109,61.22115053393041,Solar (Bucketed σ)
