k,solar_cov_bucketed_%,solar_util_bucketed_%,solar_clip_bucketed_%,load_cov_bucketed_%,load_overprov_bucketed_%,synth_n_allow_bucketed,synth_incorrect_allow_bucketed,synth_safety_bucketed_%,synth_recall_bucketed_%,solar_cov_global_%,solar_util_global_%,solar_clip_global_%,load_cov_global_%,load_overprov_global_%,synth_n_allow_global,synth_incorrect_allow_global,synth_safety_global_%,synth_recall_global_%
0.5,89.12332070272132,87.82994712334401,51.136755080950735,79.04164115125536,25.261903105400883,9,1,99.43181818181817,36.36363636363637,89.37306234929383,87.71383647942574,51.24870823286256,79.43968156766688,26.07272333815951,9,1,99.43181818181817,36.36363636363637
1.0,93.9200826730968,81.49605229829469,56.036858422321735,88.36497244335578,47.899864477510604,0,0,100.0,0.0,94.14398897692043,81.2372401434159,55.916293489493626,88.64053888548683,49.521504943027786,0,0,100.0,0.0
1.5,96.04719255942129,75.68853277764896,58.568722011712026,93.17207593386405,70.53782584962025,0,0,100.0,0.0,96.27971064416121,75.25986110430351,58.44815707888391,94.04470300061237,72.97028654789612,0,0,100.0,0.0
2.0,97.3647950396142,70.12763703520865,59.817430244574574,96.1879975505205,93.17578722172995,0,0,100.0,0.0,97.84705477092662,69.53427737849464,59.86048914915605,96.4482547458665,96.41906815276442,0,0,100.0,0.0
2.5,98.32070272132277,64.75241157343757,61.22115053393041,97.96387017758727,115.81374859383966,0,0,100.0,0.0,98.9407509472959,64.00930459348596,61.264209438511884,97.93325168401714,119.8678497576327,0,0,100.0,0.0
