cloud_bucket,count,sigma,mean_residual,mean_actual,mean_predicted
Clear (0-20%),4166,0.08508357820987383,-0.0023445972408039735,0.4376760022861258,0.4400205995269298
Partly Cloudy (21-60%),1481,0.13169999380988817,0.027213381483444602,0.6815013406617151,0.6542879591782704
Overcast (61-100%),5965,0.13859155046631544,0.036800766463112845,0.3758712391108131,0.33907047264770024
