model,MAE_kW,RMSE_kW,R2,MAPE_%
RF Leaky Baseline,6.8e-05,0.000126,1.0,0.0324
Random Forest,0.064134,0.124356,0.954743,49.4219
XGBoost,0.069685,0.126488,0.953178,53.6697
SVR,0.092235,0.151626,0.932718,93.7111
Decision Tree,0.068377,0.132579,0.94856,51.5102
Linear Regression,0.300105,0.383743,0.569044,308.4594
Physical Formula,0.0,0.0,1.0,0.0
